City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Colesberg,ZA,2021-12-07 10:45:37,-30.72,25.0972,79.63,19,4,11.79
227,Maniitsoq,GL,2021-12-07 10:45:38,65.4167,-52.9,19.09,69,100,17.56
228,Omaruru,NA,2021-12-07 10:45:38,-21.4333,15.9333,91.31,7,0,12.48
229,Albesti,RO,2021-12-07 10:45:39,47.7,27.0667,37.94,98,100,9.86
230,Cochrane,CA,2021-12-07 10:46:40,51.1834,-114.4687,16.07,85,75,8.05
231,Avera,US,2021-12-07 10:46:40,33.194,-82.5271,58.51,70,40,4.79
232,Kilindoni,TZ,2021-12-07 10:46:41,-7.9139,39.6668,81.61,74,97,7.4
233,Loiza,PR,2021-12-07 10:46:41,18.4313,-65.8802,78.8,86,40,3.44
234,Perth,AU,2021-12-07 10:45:06,-31.9333,115.8333,95.18,28,0,14.97
235,Shimoda,JP,2021-12-07 10:46:42,34.6667,138.95,60.91,87,96,24.94
236,Grand Gaube,MU,2021-12-07 10:46:42,-20.0064,57.6608,84.6,59,7,10.0
237,Chapais,CA,2021-12-07 10:46:43,49.7834,-74.8492,-0.62,90,100,16.64
238,Sobolevo,RU,2021-12-07 10:46:43,54.4299,31.8996,28.13,95,93,6.04
239,Santo Amaro Da Imperatriz,BR,2021-12-07 10:46:43,-27.6881,-48.7786,70.02,97,78,3.4
240,Krasnoselkup,RU,2021-12-07 10:46:44,65.7,82.4667,-12.37,95,98,10.71
241,Saint George,US,2021-12-07 10:46:45,37.1041,-113.5841,53.35,37,1,3.44
242,Ponta Do Sol,PT,2021-12-07 10:46:45,32.6667,-17.1,68.13,50,43,4.0
243,Port Macquarie,AU,2021-12-07 10:43:12,-31.4333,152.9167,69.89,89,68,10.69
244,Zaraza,VE,2021-12-07 10:46:46,9.3503,-65.3245,71.06,92,37,2.57
245,Balikpapan,ID,2021-12-07 10:45:28,-1.2675,116.8289,81.59,89,20,4.61
246,Koutsouras,GR,2021-12-07 10:46:47,35.0339,25.9469,60.12,61,46,27.69
247,Qasigiannguit,GL,2021-12-07 10:46:47,68.8193,-51.1922,19.65,94,100,7.11
248,Tomatlan,MX,2021-12-07 10:46:47,19.9333,-105.25,67.62,65,84,3.13
249,Bagdarin,RU,2021-12-07 10:46:48,54.4333,113.6,8.17,96,67,3.0
250,Kargasok,RU,2021-12-07 10:46:48,59.0556,80.8572,-1.41,93,99,10.71
251,Angoche,MZ,2021-12-07 10:46:48,-16.2325,39.9086,88.75,57,72,15.39
252,Abeche,TD,2021-12-07 10:46:49,13.8292,20.8324,93.36,11,8,4.94
253,Alyangula,AU,2021-12-07 10:46:49,-13.8483,136.4192,84.07,79,50,4.61
254,Bathsheba,BB,2021-12-07 10:46:50,13.2167,-59.5167,79.41,73,40,17.27
255,Birjand,IR,2021-12-07 10:42:30,32.8663,59.2211,64.87,11,0,6.91
256,Pyaozerskiy,RU,2021-12-07 10:46:50,65.8333,31.1667,-3.5,97,63,3.65
