City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Batticaloa,LK,7.7102,81.6924,81.82,78,100,13.87,overcast clouds
190,Samarai,PG,-10.6167,150.6667,82.98,77,100,14.0,overcast clouds
191,Kaitangata,NZ,-46.2817,169.8464,51.31,96,19,3.2,few clouds
192,Emilio Carranza,MX,19.9711,-96.6114,66.58,78,27,6.93,scattered clouds
193,Liverpool,GB,53.4106,-2.9779,50.68,87,75,1.99,broken clouds
194,Katsuura,JP,35.1333,140.3,48.18,44,3,11.5,clear sky
195,Dibulla,CO,11.2725,-73.3091,72.48,71,49,5.95,scattered clouds
196,Tilichiki,RU,60.4667,166.1,14.99,80,100,33.98,light snow
197,Mikhaylovka,RU,50.06,43.2379,26.78,40,100,15.1,overcast clouds
198,Esperance,AU,-33.8667,121.9,61.45,61,100,18.95,overcast clouds
199,Marsh Harbour,BS,26.5412,-77.0636,75.72,73,4,11.95,clear sky
200,Kandrian,PG,-6.2167,149.55,79.88,87,100,2.53,overcast clouds
201,Moba,CN,33.2288,105.0179,33.01,74,90,3.44,overcast clouds
202,Torbay,CA,47.6666,-52.7314,36.75,67,40,26.46,scattered clouds
203,Kedrovyy,RU,56.1667,91.8167,-1.14,97,100,4.36,overcast clouds
204,Iki-Burul,RU,45.8208,44.6472,28.74,60,33,22.28,scattered clouds
205,Acarau,BR,-2.8856,-40.12,82.04,73,72,16.15,broken clouds
206,Isangel,VU,-19.55,169.2667,80.28,83,100,14.92,light rain
207,Adre,TD,13.4667,22.2,87.64,16,89,7.63,overcast clouds
208,Urzhum,RU,57.1141,49.9996,17.64,81,75,8.5,broken clouds
209,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.39,68,20,14.97,few clouds
210,Aklavik,CA,68.2191,-135.0107,-5.08,85,100,17.52,overcast clouds
211,Kampene,CD,-3.6,26.6667,75.58,81,100,2.33,overcast clouds
212,Cabo San Lucas,MX,22.8909,-109.9124,70.52,79,64,5.08,broken clouds
213,Longkou,CN,37.6508,120.3286,37.22,41,0,12.8,clear sky
214,Dori,BF,14.0354,-0.0345,86.68,9,97,11.65,overcast clouds
215,Mizdah,LY,31.4451,12.9801,53.82,44,10,14.65,clear sky
216,Punto Fijo,VE,11.6956,-70.1996,76.93,83,28,9.08,scattered clouds
217,Kisangani,CD,0.5167,25.2,86.36,70,75,6.91,broken clouds
218,Gobabis,NA,-22.45,18.9667,87.78,19,6,4.68,clear sky
219,Mokhsogollokh,RU,61.4681,128.9203,-16.26,98,100,1.43,overcast clouds
220,Moanda,GA,-1.5575,13.2178,82.63,55,89,0.65,overcast clouds
221,Berbera,SO,10.4396,45.0143,82.45,53,3,21.99,clear sky
222,Thinadhoo,MV,0.5333,72.9333,81.25,77,98,9.66,overcast clouds
223,Beloha,MG,-25.1667,45.05,102.94,14,0,7.72,clear sky
224,Araouane,ML,18.9048,-3.5265,77.14,7,50,11.5,scattered clouds
225,Neyshabur,IR,36.2133,58.7958,44.98,48,7,3.13,clear sky
226,Makakilo City,US,21.3469,-158.0858,73.72,77,1,10.36,clear sky
227,Moose Factory,CA,51.2585,-80.6094,24.8,80,90,3.44,overcast clouds
228,Itarema,BR,-2.9248,-39.9167,82.27,71,75,15.46,broken clouds
229,Kushima,JP,31.4583,131.2333,50.04,69,2,4.12,clear sky
230,Pallasovka,RU,50.05,46.8833,26.98,61,100,11.61,overcast clouds
231,Jardim,BR,-21.4803,-56.1381,73.2,97,100,6.87,overcast clouds
232,Phagwara,IN,31.2178,75.7694,64.13,23,50,2.57,scattered clouds
233,Dalnegorsk,RU,44.5604,135.5701,9.68,63,7,8.88,clear sky
234,Pisco,PE,-13.7,-76.2167,63.01,94,32,1.14,mist
235,Yerbogachen,RU,61.2767,108.0108,-41.91,100,28,2.98,scattered clouds
236,Portland,US,45.5234,-122.6762,43.25,94,90,1.01,mist
237,Bonthe,SL,7.5264,-12.505,83.25,73,10,2.24,light rain
238,Camacupa,AO,-12.0167,17.4833,65.98,93,95,4.68,light rain
239,Vrede,ZA,-27.4257,29.1659,59.56,94,100,7.85,light rain
240,Tommot,RU,58.9564,126.2925,-13.61,98,100,1.01,overcast clouds
241,Ostrovnoy,RU,68.0531,39.5131,24.85,94,99,8.81,overcast clouds
242,San Joaquin,US,37.9333,-121.3011,55.98,88,90,6.91,moderate rain
243,Gawler,AU,-34.6,138.7333,64.47,77,100,4.94,overcast clouds
244,Boyolangu,ID,-8.1181,111.8935,81.09,78,13,8.75,few clouds
245,Codajas,BR,-3.8367,-62.0569,73.18,98,100,1.83,overcast clouds
246,Chicama,PE,-7.8447,-79.1469,65.21,86,13,2.98,few clouds
247,Puerto Cabezas,NI,14.0351,-83.3888,73.81,91,57,7.14,broken clouds
248,Quebo,GW,11.3333,-14.9333,84.85,36,42,4.88,scattered clouds
249,Kirakira,SB,-10.4544,161.9205,81.5,87,100,10.2,light rain
250,Mudhol,IN,16.35,75.2833,81.57,48,71,9.55,broken clouds
251,Quchan,IR,37.106,58.5095,39.31,51,25,16.28,scattered clouds
252,Constitucion,CL,-35.3333,-72.4167,49.87,68,7,4.65,clear sky
253,Sept-Iles,CA,50.2001,-66.3821,16.23,92,75,4.61,broken clouds
254,Ariquemes,BR,-9.9133,-63.0408,73.67,99,100,2.53,overcast clouds
255,Tymovskoye,RU,50.8456,142.655,20.62,89,100,14.0,light snow
256,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,76.93,100,75,0.0,broken clouds
257,San Cristobal,VE,7.7669,-72.225,66.38,92,54,3.2,broken clouds
258,Pokhara,NP,28.2333,83.9833,64.42,46,72,4.38,broken clouds
259,Pevek,RU,69.7008,170.3133,-31.58,96,17,2.06,few clouds
260,Bredasdorp,ZA,-34.5322,20.0403,67.32,88,75,17.27,light rain
261,Pamyat Parizhskoy Kommuny,RU,56.1048,44.4952,22.95,77,100,9.6,overcast clouds
262,Eslamshahr,IR,35.5605,51.2346,56.64,26,0,6.91,haze
263,Guerrero Negro,MX,27.9769,-114.0611,58.59,79,98,6.87,overcast clouds
264,Tura,IN,25.5198,90.2201,70.81,54,0,2.86,clear sky
265,Masuguru,TZ,-11.3667,38.4167,97.9,29,77,5.48,broken clouds
266,Kushmurun,KZ,52.4503,64.6311,14.11,86,37,4.23,scattered clouds
267,Dingle,PH,10.9995,122.6711,76.64,91,73,9.15,broken clouds
268,Domoni,KM,-12.2569,44.5319,82.89,71,46,2.01,light rain
269,Lasa,IT,46.6166,10.7002,47.28,97,51,6.04,broken clouds
270,Wad Rawah,SD,15.1603,33.1397,90.82,19,3,5.5,clear sky
271,Tiksi,RU,71.6872,128.8694,-22.85,100,99,0.81,overcast clouds
272,Paris,FR,48.8534,2.3488,48.9,94,90,1.99,overcast clouds
273,Whitianga,NZ,-36.8333,175.7,68.02,92,100,7.54,light rain
274,Auki,SB,-8.7676,160.7034,79.34,90,100,9.78,overcast clouds
275,Charters Towers,AU,-20.1,146.2667,80.29,59,92,22.7,overcast clouds
276,Markova,UA,48.6758,24.4138,27.99,96,100,6.42,light snow
277,Shelburne,CA,44.0787,-80.2041,38.53,74,100,17.36,overcast clouds
278,Saraipali,IN,21.3333,83.0,77.85,33,53,1.32,broken clouds
279,Olafsvik,IS,64.8945,-23.7142,40.44,89,100,10.8,overcast clouds
280,Nemuro,JP,43.3236,145.575,33.53,64,85,36.17,overcast clouds
281,Rockport,US,28.0206,-97.0544,64.42,90,90,1.99,overcast clouds
282,Troitskoye,RU,52.9821,84.6757,11.17,95,100,7.9,light snow
283,Saint-Francois,FR,46.4154,3.9054,41.47,94,90,8.05,mist
284,Misratah,LY,32.3754,15.0925,59.95,59,83,21.74,broken clouds
285,Bom Jardim,BR,-7.7958,-35.5872,73.74,73,63,6.26,broken clouds
286,Myrhorod,UA,49.9685,33.6089,35.67,77,100,9.01,light rain
287,Kahului,US,20.8947,-156.47,73.85,95,75,11.5,light rain
288,Vredendal,ZA,-31.6683,18.5012,74.44,57,24,16.58,few clouds
289,Valdivia,CL,-39.8142,-73.2459,44.69,96,96,1.45,overcast clouds
290,Kuryk,KZ,43.2,51.65,38.68,45,0,11.25,clear sky
291,San Quintin,MX,30.4833,-115.95,47.44,81,63,1.41,broken clouds
292,Ndioum,SN,16.5129,-14.6471,80.49,8,99,10.25,overcast clouds
293,Broome,US,42.2506,-75.833,39.9,62,1,3.0,clear sky
294,Pandan,PH,14.0453,124.1694,78.08,83,83,19.19,broken clouds
295,Penzance,GB,50.1186,-5.5371,54.28,93,75,19.57,broken clouds
296,Castro,BR,-24.7911,-50.0119,68.11,72,99,3.98,overcast clouds
297,Roald,NO,62.5833,6.1333,49.12,87,75,25.32,broken clouds
298,Bara,NG,10.3744,10.7288,90.32,12,94,10.67,overcast clouds
299,Lodja,CD,-3.4833,23.4333,75.83,82,100,0.85,overcast clouds
300,Abapo,BO,-18.8333,-63.4667,65.34,97,100,2.04,overcast clouds
301,Avera,US,33.194,-82.5271,40.87,48,0,5.55,clear sky
302,Riyadh,SA,24.6877,46.7219,69.94,14,42,4.29,scattered clouds
303,Talnakh,RU,69.4865,88.3972,-28.73,85,25,3.8,scattered clouds
304,Loei,TH,17.4167,101.5,69.17,66,38,2.93,scattered clouds
305,Oriximina,BR,-1.7656,-55.8661,73.92,93,100,2.91,overcast clouds
306,Pangnirtung,CA,66.1451,-65.7125,-2.34,72,100,5.37,overcast clouds
