City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Vanimo,PG,80.28,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
377,Kalmunai,LK,81.84,overcast clouds,7.4167,81.8167,VS Villa
378,Yeppoon,AU,78.58,clear sky,-23.1333,150.7333,Villa Mar Colina
383,Payyannur,IN,87.48,broken clouds,12.1,75.2,Kavvayi Beach House
384,Natal,BR,84.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
387,Luganville,VU,79.39,light rain,-15.5333,167.1667,The Espiritu Hotel
392,Agadez,NE,70.72,broken clouds,19.75,10.25,
393,Karratha,AU,92.39,clear sky,-20.7377,116.8463,ibis Styles Karratha
395,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
397,Dwarka,IN,78.4,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
401,Wajir,KE,89.92,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
405,Mitsamiouli,KM,91.69,few clouds,-11.3847,43.2844,Foyer ADM
410,Camocim,BR,81.93,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
411,Faya,SA,70.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
412,Male,MV,85.95,broken clouds,4.1748,73.5089,Hotel Octave Maldives
413,Ibimirim,BR,77.07,broken clouds,-8.5406,-37.6903,Pousada Casa Grande
416,Coahuayana,MX,72.07,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
417,Narasannapeta,IN,76.44,overcast clouds,18.4167,84.05,G.lingaraju home
418,Bandarbeyla,SO,80.46,clear sky,9.4942,50.8122,JABIR HOTEL
419,Faanui,PF,80.87,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
420,Namibe,AO,75.83,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
422,Dhidhdhoo,MV,82.38,overcast clouds,6.8833,73.1,Dhidhoo beach
424,Broken Hill,AU,87.51,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
426,Sao Jose Da Coroa Grande,BR,80.15,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
429,Tuy Hoa,VN,72.95,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
433,Saint-Pierre,RE,87.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
437,Moron,AR,74.95,overcast clouds,-34.6534,-58.6198,Hotel Morón
439,Santa Fe Do Sul,BR,72.32,overcast clouds,-20.2111,-50.9258,Litani Park Hotel - Hotel Santa Fé do Sul
440,Matara,LK,80.82,light rain,5.9485,80.5353,Amaloh Boutique Resort
446,Caravelas,BR,76.71,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
447,Abu Dhabi,AE,78.91,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
449,Turbat,PK,81.09,clear sky,26.0023,63.044,Mubashar Quarters
453,Fort Abbas,PK,73.02,clear sky,29.1925,72.8536,AsAd's House
455,Vao,NC,76.15,light rain,-22.6667,167.4833,Hotel Kou-Bugny
456,Juruti,BR,74.93,overcast clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
457,Biak,ID,80.17,overcast clouds,-0.9131,122.8766,Penginapan Kim
